id,Tisch F4 Collection Name ,Notes
tufts:14326,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-31T11:03:00.111-04:00
tufts:14608,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14609,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14610,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14611,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14612,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14613,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14614,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14615,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14616,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14617,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14618,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14619,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14620,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14621,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14622,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14623,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14624,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14625,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14626,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:14627,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-10-07T12:00:36.832-04:00
tufts:15068,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-11-09T11:38:22.787-05:00
tufts:15069,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-11-09T11:38:22.787-05:00
tufts:15070,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-11-09T11:38:22.787-05:00
tufts:15071,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-11-09T11:38:22.787-05:00
tufts:15072,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-11-09T11:38:22.787-05:00
tufts:15073,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-11-09T11:38:22.787-05:00
tufts:15074,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-11-09T11:38:22.787-05:00
