pid,title,tranform,other Element to Look For,HighLevelCollectionName
tufts:12594,American Gothic.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12596,The Seasons.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12578,La Citadelle: Freedom.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12581,The Two Fridas.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12565,Wall Hanging.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12582,"Migrant Mother\, Nipomo\, California.",ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12575,Aspects of Negro Life: From Slavery Through Reconstruction.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12580,Big Raven.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12562,Coffee and Tea Service.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12579,The Jack Pine.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12590,Garden in Sochi.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12570,Forms in Echelon.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12601,Lavender and Mulberry.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12599,Cubi.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12573,Guernica.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12569,Object (Luncheon in Fur).,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12572,Recumbent Figure.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12571,Composition.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12585,"Zambezia\, Zambezia.",ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12589,Abstract Art in Five Tones and Complementaries.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12574,"Couple Wearing Raccoon Coats with a Cadillac\, Taken on West 127th Street\, Harlem\, New York.",ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12587,Head Surrounded By Sides of Beef.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12568,Birth of Liquid Desires.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12588,Marpacifico (Hibiscus).,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12586,Painting.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12583,Abaporú (The One Who Eats).,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12584,The Great City of Tenochtitlan (Detail).,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12567,Degenerate Art Exhibition,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12600,Knight Watch.,ArtBatchTransform: 2014-12-18T13:07:31.779-05:00,displaysIn:Trove,Trove
tufts:12633,The Governess.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12632,"Cutaway Illustration of the Panthéon (Church of Sainte- Geneviève)\, Paris.",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12646,Mission San Xavier Del Bac.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12617,The Park at Stourhead.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12619,"""Am I Not a Man and a Brother?"".",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12622,Lady Sarah Bunbury Sacrificing to the Graces.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12636,Portrait of Jean-Baptiste Belley.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12634,Portrait of Marie Antoinette with Her Children.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12612,Plan of Chiswick House.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12607,Plan of the Church of the Vierzehnheiligen.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12615,Pauline Borghese as Venus.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12620,"The Marriage Contract\, from Marriage a la Mode.",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12616,"Panassus\, in the Villa Albani\, Rome.",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12618,The Apotheosis of Homer.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12638,Robert Andrews and Frances Carter (Mr. and Mrs. Andrews).,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12631,Watson and the Shark.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12609,"Charles Sackville\, 2nd Duke of Dorset.",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12637,An Experiment on a Bird in the Air-Pump.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12645,Self-Portrait with Two Pupils.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12640,"The Sleep of Reason Produces Monsters\, No. 43 from Los Caprichos (The Caprices).",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12639,Death of Marat.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12642,"Third of May\, 1808.",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12635,"The Village Bride\, or the Marriage\, the Moment When the Father Gives His Son-In-Law a Dowry.",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12641,George Washington.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12643,Virgin of Guadalupe.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12644,Atrial Cross.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12608,"Interior\, Church of the Vierzehnheiligen.",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12611,The Doge's Palace and the Riva Degli Schiavoni.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12613,"View of the Pantheon\, Rome\, from the Views of Rome Series.",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12621,Exterior View of Strawberry Hill.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12604,The Signboard of Gersaint.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12602,Girl Reclining: Louise O'Murphy.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12603,"Salon De La Princesse\, Hôtel De Soubise\, Paris.",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12628,The Nightmare.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12629,Severn River Bridge.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12626,The Death of General Wolfe.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12624,Cornelia Pointing to Her Children as Her Treasures.,ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
tufts:12625,"Picture Gallery Showing Fan-Vaulted Ceiling\, Strawberry Hill.",ArtBatchTransform: 2015-01-06T15:18:08.352-05:00,displaysIn:Trove,Trove
